id,contractor_name,related_companies,address_1,city,state,zip,additional_address,additional_address_city,additional_address_state,additional_address_zip,dfi,wc,wc_date,osha_severe_violations,years,osha,state_federal_debarment,mndol_ineligibility,public_works_projects_budget_time_quality_complaint,federal_court,circuit_court,ccap_show150,environmental_violations,prevailing_wage_violations,dwd,dwd_substance_abuse_plan,better_business_bureau_complaints,misc_violations,tax_liability
1220,"""C"" SCHLICHT PLUMBING INC",,2807 West Vliet St,Milwaukee,WI,53208,,,,,Dissolved 12/3/14,N,8/27/2020,,,Y,N,N,N,N,N,,N,N,N,,N,N,
13205,*PAINTWORKS* LLC,TIM COLE PAINTING,11720 W Dearbourn Ave,Wauwatosa,WI,53226,,,,,Administratively dissolved as of 8/26/22,N,10/2/2023,,,N,N,N,N,N,Y,,N,N,Y,,N,N,
11391,#1 TRANSPORTATION LLC,,1701 W 6th St,Racine,WI,53404,,,,,Y,Y,10/7/2021,,,N,N,N,N,N,N,,N,N,N,,N,N,
14566,10330 EXCEEDING LLC,,8200 W Brown Deer Rd Ste 301,Milwaukee,WI,53223,,,,,Y,N,10/16/2025,,,N,N,N,N,N,N,,N,N,N,,N,N,
5596,1130 PARTNERS INC,P.D.C. MIDWEST INC,"1130 James Dr, Suite 106",Hartland,WI,53029,,,,,Dissolved as of 6/11/20,N,4/1/2024,,,N,N,N,N,N,N,N,N,N,N,,N,N,
11950,117 INSTALLATIONS,,13340 Old Pleasant Valley Rd,Middleburg Heights,OH,44130,,,,,Not in OH nor in DFI,N,3/4/2025,,,N,N,N,N,N,N,,N,N,N,,N,N,
3,12 GAUGE CONSTRUCTION LLC,,2013 S Stoughton Rd,Madison,WI,53716,,,,,Y,Y,3/4/2025,,,Y,N,N,N,N,N,,N,N,N,,Y,N,
14475,123 EXTERIORS INC,,4600 Maryland Ave,St Louis,MO,63108,,,,,Withdrawn in MO as of 10/31/20 and withdrawn in DFI as of 4/12/21,N,8/21/2025,,,N,N,N,N,N,N,,N,N,N,,N,N,
11299,1848 CONSTRUCTION INC,,3302 Latham Dr,Madison,WI,53713,,,,,Y,Y,3/4/2025,,,N,N,N,N,N,N,,N,N,N,,N,N,
10423,187 DRYWALL LLC,,3310 93rd Curve NE,Blaine,MN,55449,,,,,Administratively terminated in MN as of 3/19/19 and not in DFI,N,3/4/2025,,,N,N,Y,N,N,N,,N,N,N,,N,N,
3231,1901 INC,H&H INDUSTRIES INC,2801 Syene Rd,Madison,WI,53713,,,,,Y,Y,3/4/2025,,,N,N,N,N,N,N,,N,N,N,,N,N,
11862,1ST CHANCE CONTRACTING INC,,748 Bow Bells Rd,Oneida,WI,54155,,,,,Delinquent as of 10/1/24,Y,3/4/2025,,,N,N,N,N,N,Y,,N,N,Y,,N,N,
10422,5WAY CONTRACTORS INC,,1566 Germain Landings,St Paul,MN,55106,,,,,Administratively dissolved in MN as of 1/26/22 and not in DFI,N,3/5/2025,,,N,Y,Y,N,N,N,,N,N,N,,Y,N,
9060,8 ACES CONSTRUCTION INC,,17542 Chicago Ave,Lansing,IL,60438,,,,,Dissolved in IL as of 11/10/20 and not in DFI,N,3/5/2025,,,Y,Y,N,N,Y,N,,N,Y,N,,N,Y,
133,A-1 DURAN ROOFING INC,A-1 DURAN ROOFING & INSULATION SERVICES INC,8095 NW 64th St,Miami,FL,33166,,,,,Active in FL but not in DFI,N,3/5/2025,,,Y,Y,N,N,N,N,,N,Y,Y,,Y,N,
62,A. LAMP CONCRETE CONTRACTORS INC,,1900 Wright Blvd,Schaumburg,IL,60193,,,,,Active in IL but not in DFI,N,3/5/2025,,,Y,Y,N,N,Y,N,,N,Y,N,,Y,Y,
154,ABATEMENT MANAGEMENT INC,,6990 State Route 111,South Roxana,IL,62087,,,,,Active in IL but not in DFI,N,4/9/2025,,,N,Y,N,N,N,N,,N,N,N,,Y,N,
161,ABEL ELECTRIC INC,,3385 Belmar Rd,Green Bay,WI,54313,,,,,Administratively Dissolved 6/14/11,N,4/9/2025,,,N,Y,N,N,N,Y,,N,Y,Y,,N,Y,
160,"ABEL, MIKE",,3385 Belmar Rd,Green Bay,WI,54313,,,,,N,,,,,N,Y,N,N,Y,Y,,N,N,Y,,N,N,
187,ACCURATE STEEL INSTALLERS INC,,14631 S New Avenue,Lockport,IL,60441,,,,,Involuntarily Dissolved in IL as of 7/8/16 and not in DFI,N,5/1/2025,,,N,Y,N,N,Y,Y,,N,N,N,,N,Y,
275,"AGOUDEMOS, TELEMACHOS",,W230S8805 Clark St,Big Bend,WI,,,,,,N,,,,,N,Y,N,N,Y,Y,,N,N,Y,,N,Y,
292,ALACRAN CONTRACTING LLC,,308 W State St #210,Rockford,IL,61101,,,,,Active in IL but revoked in DFI as of 10/21/15,N,5/20/2025,,,N,Y,N,N,Y,Y,,N,N,N,,N,Y,
387,ALPHA ELECTRIC LLC,,350 Business Park Dr,Sun Prairie,WI,53590,,,,,Administratively dissolved as of 2/25/24,N,9/4/2025,,,N,Y,N,N,Y,Y,,N,Y,Y,,N,Y,
415,AMERICAN CONTRACTORS AND ASSOCIATES LLC,,5644 Vera Cruz Ave N,Crystal,MN,55429,,,,,Administratively terminated in MN as of 2/24/20 and not in DFI,N,9/4/2025,,,Y,Y,Y,N,N,Y,,N,N,N,,N,Y,
